Timestamp,/RealOutputs/ToF/Distance,/RealOutputs/ToF/Distance/0,/RealOutputs/ToF/Distance/1,/RealOutputs/ToF/Distance/length,/RealOutputs/ToF/FPGA,/RealOutputs/ToF/NT_Delta,/RealOutputs/ToF/NT_Time,/RealOutputs/ToF/Timestamps,/RealOutputs/ToF/Timestamps/0,/RealOutputs/ToF/Timestamps/1,/RealOutputs/ToF/Timestamps/2,/RealOutputs/ToF/Timestamps/length,/RealOutputs/Drive/LeftPositionMeters,/RealOutputs/Drive/LeftVelocityMetersPerSec,/RealOutputs/Drive/RightPositionMeters,/RealOutputs/Drive/RightVelocityMetersPerSec,/RealOutputs/DigitalIO/Falling,/RealOutputs/DigitalIO/PeriodicValue
61.732289,[655; 0],655,0,2,61.732531,0.062281,61.67025,[1910.1483154296875; 1910.1483154296875; 1910.17138671875],1910.148315,1910.148315,1910.171387,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.751934,[655; 0],655,0,2,61.752194,0.081944,61.67025,[1910.1483154296875; 1910.1483154296875; 1910.17138671875],1910.148315,1910.148315,1910.171387,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.772024,[655; 0],655,0,2,61.772599,0.102349,61.67025,[1910.1483154296875; 1910.1483154296875; 1910.17138671875],1910.148315,1910.148315,1910.171387,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.792039,[656; 0],656,0,2,61.792466,0.024741,61.767725,[1910.244140625; 1910.244140625; 1910.2689208984375],1910.244141,1910.244141,1910.268921,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.811999,[656; 0],656,0,2,61.812722,0.044997,61.767725,[1910.244140625; 1910.244140625; 1910.2689208984375],1910.244141,1910.244141,1910.268921,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.83194,[656; 0],656,0,2,61.832348,0.064623,61.767725,[1910.244140625; 1910.244140625; 1910.2689208984375],1910.244141,1910.244141,1910.268921,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.851993,[656; 0],656,0,2,61.852252,0.084527,61.767725,[1910.244140625; 1910.244140625; 1910.2689208984375],1910.244141,1910.244141,1910.268921,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.872008,[656; 0],656,0,2,61.872509,0.104784,61.767725,[1910.244140625; 1910.244140625; 1910.2689208984375],1910.244141,1910.244141,1910.268921,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.891931,[650; 0],650,0,2,61.892394,0.027189,61.865205,[1910.3416748046875; 1910.3416748046875; 1910.3663330078125],1910.341675,1910.341675,1910.366333,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.912057,[650; 0],650,0,2,61.912633,0.047428,61.865205,[1910.3416748046875; 1910.3416748046875; 1910.3663330078125],1910.341675,1910.341675,1910.366333,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.932036,[650; 0],650,0,2,61.932277,0.067072,61.865205,[1910.3416748046875; 1910.3416748046875; 1910.3663330078125],1910.341675,1910.341675,1910.366333,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.951996,[650; 0],650,0,2,61.952367,0.087162,61.865205,[1910.3416748046875; 1910.3416748046875; 1910.3663330078125],1910.341675,1910.341675,1910.366333,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.971918,[650; 0],650,0,2,61.972289,0.107084,61.865205,[1910.3416748046875; 1910.3416748046875; 1910.3663330078125],1910.341675,1910.341675,1910.366333,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
61.991915,[666; 0],666,0,2,61.99236,0.029679,61.962681,[1910.4390869140625; 1910.4390869140625; 1910.4638671875],1910.439087,1910.439087,1910.463867,3,12.36441135,1.00E-07,12.45791435,9.06E-08,null,TRUE
