log2.py

Log time and distance measurements for two sensors to stdout.

Press Ctrl+C to exit.


Inter-measurement must be greater than timing budget, setting inter-measurement period to 54
0.058739218000027904,373,0
0.10039314899995588,296,0
0.17053372600003058,389,0
0.22483249700007946,316,0
0.27753906399993866,220,0
0.33023876099991867,310,0
0.3845806799999991,292,0
0.4372920250000334,204,0
0.49001311000006353,208,0
0.5427164000000175,379,0
0.5970046340000863,298,0
0.6497107939999296,441,2351
0.7024256570000489,274,0
0.7567168170000969,236,0
0.8094055139999909,365,0
0.8621229689999836,401,0
0.9148187769999367,299,0
0.9691133999999693,344,0
1.0218128189999334,261,0
1.0745124420000138,301,0
1.1287727129999894,335,0
1.1814364470001237,400,0
1.2356806630000392,328,0
1.288341785000057,322,0
1.3425869079999302,232,0
1.396862012999918,348,0
1.451142210999933,376,0
1.5054126859999997,326,0
1.5596793090001029,399,0
1.6139329509999243,414,0
1.6665998700000273,378,0
1.7208475120000912,351,0
1.77509850499996,465,0
1.829343129000108,453,0
1.8836016220000147,406,0
1.9378862270000354,364,0
1.9921476280001116,359,0
2.0448103250000713,457,0
2.099054059000082,425,0
2.1532957750000605,402,0
2.2075551210000413,328,0
2.261822392000113,413,0
2.316070793000108,358,0
2.370322064999982,354,0
2.4245748359999197,474,0
2.477238699000054,355,0
2.5314829149999696,408,0
2.5857254459999695,424,0
2.639963439999974,340,0
2.6942086740000377,414,0
2.748452463999911,395,0
2.802695809999932,402,0
2.855353414000092,414,0
2.909594685000002,409,0
2.96386299400001,337,0
3.0181307469999865,349,0
3.0723984809999365,464,0
3.1266665489999923,463,0
3.180933634999974,373,0
3.233626146000006,360,0
3.287901361999957,480,0
3.342184485999951,307,0
3.396460923999939,403,0
3.4507582139999613,245,0
3.5050295410001127,361,0
3.559315738000123,281,0
3.6119623790000333,395,0
3.6662295400001312,428,0
3.720495329999949,415,0
3.774762434999957,389,0
3.8290680019999854,361,0
3.883372107000014,292,0
3.9376763420000316,313,0
3.9903744640000696,274,0
4.0446419580000565,253,0
4.098910377000038,368,0
4.153179242000078,421,0
4.207446180000034,343,0
4.264883674999965,299,0
4.319154576000074,223,0
4.371839939999973,293,0
4.424527173000115,420,0
4.47879405599997,364,0
4.531477252000059,456,2318
4.585751598000115,445,0
4.640030498999977,290,0
4.692732381000042,254,0
4.747011151999914,397,0
4.801282924000134,338,2342
4.85557315799997,413,0
4.909864893000076,408,0
4.964152164000097,373,0
5.034282408000081,200,0
5.086972900000092,100,0
5.141246246000037,149,0
5.193941219999942,153,0
5.2482172140000785,156,0
5.300903465999909,144,0
5.3535986070000945,135,0
5.407875100999945,135,0
5.460562000999971,131,0
5.513250846000119,132,0
5.567543673000046,122,0
5.620232109999961,121,0
5.67292304700004,113,0
5.727197040999954,109,0
5.779885886000102,106,0
5.8325750819999485,113,0
5.886851149999984,106,0
5.939539771999989,96,0
5.992228839000063,108,0
6.044918053999936,103,0
6.099191881000024,105,0
6.1518818740000825,112,0
6.206160367999928,105,0
6.2604384539999955,102,0
6.31471611500001,91,2328
6.3689864969999235,90,0
6.423264416999928,87,0
6.477552484999933,84,0
6.5302444220001234,87,0
6.58451472999991,80,0
6.638785243000029,141,0
6.693062995999981,677,2336
6.7473398409999845,263,0
6.801618408999957,474,0
6.854305087000057,57,0
6.908574098999907,57,0
6.962845130000005,57,0
7.017115827999987,57,0
7.071385618000022,57,0
7.125653519000025,57,0
7.179923049000081,57,0
7.232612450000033,57,0
7.2868841290001,57,0
7.341155585000024,57,0
7.395425801000101,57,0
7.449694386999909,57,0
7.503969622000113,57,0
7.558241041999963,57,0
7.610928257000069,57,0
7.665196231999971,57,0
7.719466855000064,57,0
7.773734590000004,57,0
7.828038880000122,57,0
7.882318039999973,57,0
7.936589608000077,57,0
7.989273434000097,57,0
8.043542094000031,57,0
8.097809698999981,57,0
8.152038897000011,57,0
8.206308241999977,57,0
8.26057873600007,57,0
8.314848915000084,135,0
8.36753398199994,138,0
8.421817530999988,55,0
8.47609102499996,30,0
8.53038496299996,113,0
8.584655031000011,108,0
8.638925412999924,109,0
8.69319761099996,105,0
8.745896380999966,100,0
8.800174468000023,106,0
8.854450498000006,106,0
8.908715196000003,98,0
8.962961115000098,104,0
9.017233443000123,103,0
9.071491029000072,112,0
9.124154335999947,122,0
9.18478359300002,116,0
9.237471308000067,108,0
9.291741894000097,100,0
9.34443884999996,102,0
9.397126195000055,97,0
9.451399300000048,98,0
9.50408540400008,101,0
9.556780193000122,100,0
9.6110580940001,90,0
9.665328347000013,99,0
9.719600636999985,101,0
9.77387651999993,104,0
9.828146957999934,91,0
9.880843006000077,89,0
9.93512322200013,229,0
9.989396142000032,655,0
10.043666653999935,344,0
10.097940259000097,462,0
10.152232122999976,431,0
10.206503745999953,357,0
10.25919260899991,43,0
10.31346204800002,43,0
10.367730707999954,43,0
10.421998109000015,43,0
10.476273065999976,43,0
10.530542262999916,43,0
10.58480855300013,43,0
10.637497287000087,43,0
10.691770132000102,43,0
10.746041737000041,43,0
10.800316861000056,43,0
10.85458957700007,43,0
10.908858051999914,43,0
10.963131786000076,43,0
11.015820816000087,43,0
11.070089476000021,43,0
11.12436171100012,43,0
11.178640538000082,43,0
11.23290714299992,43,0
11.287130692000119,43,0
11.341395908000095,43,0
11.39408008600003,43,0
11.448348302000113,43,0
11.502614203000121,43,0
11.556878771000129,43,0
11.611148079000031,43,0
11.66541466600006,43,0
11.71968519699999,43,0
11.773954282999966,43,0
11.826639145999934,43,0
11.880907621000006,43,0
11.935155855999938,43,0
11.989425072000131,43,0
12.043699639000124,43,0
12.097967428999937,43,0
12.152237775000003,456,0
12.204927249000093,409,0
12.259217706000072,326,0
12.313487237000118,350,0
12.367756953000026,415,0
12.422025372000007,335,0
12.476293737000105,368,0
12.530564340999945,355,0
12.58325168600004,340,0
12.637527401999932,397,0
12.691801266000084,342,0
12.746073797000008,335,0
12.800344976000133,321,0
12.85461654400001,324,0
12.908906371000057,280,0
12.961605789000032,229,0
13.015878856999961,236,0
13.070148388000007,267,0
13.124418159000015,312,0
13.178686708999976,274,0
13.232955462000064,262,0
13.287225306999972,258,0
13.33991015200013,360,0
13.394176608999942,219,0
13.448444805999998,232,0
13.502713818000075,345,0
