log2.py

Log time and distance measurements for two sensors to stdout.

Press Ctrl+C to exit.


Inter-measurement must be greater than timing budget, setting inter-measurement period to 54
0.05875640299996121,119,271
0.11788734299989301,287,420
0.15792269899998246,119,340
0.20905167199998687,119,390
0.26334229400004006,119,376
0.31763684299994566,119,380
0.37192592900009913,119,408
0.4246253470000738,125,412
0.4789230989999851,119,245
0.5332037040000159,119,272
0.5874884190000103,130,463
0.6417727460000151,119,343
0.6960595539999304,119,355
0.750346473000036,119,377
0.8030476129999897,119,335
0.8573327730000528,119,369
0.9116331370000808,119,421
0.9659248150001076,119,390
1.0202171789999284,119,443
1.0744829499999469,119,582
1.1287408499999856,119,474
1.1814177310000105,204,464
1.2356753359999857,134,377
1.2899399400000675,110,505
1.3441993779999848,135,392
1.398455611999907,133,401
1.452713734000099,131,533
1.5069683760000316,136,421
1.56122253500007,146,348
1.613895009000089,150,396
1.6681566879999536,139,465
1.7224164770000243,136,368
1.7766789330000847,144,644
1.830943925999918,146,382
1.885209512000074,143,425
1.9395098939999116,128,371
1.9937804250000681,124,344
2.04807530700009,115,471
2.100771057999964,114,414
2.155038070000046,112,427
2.233066409999992,109,145
2.2873221620000095,107,125
2.3431629710000834,104,147
2.3974198720000004,102,146
2.4501188819999697,98,141
2.504393319999963,94,131
2.5586180170000716,94,127
2.612876194999899,89,121
2.6671554849999666,94,117
2.721419848000096,96,115
2.7756894900001043,103,113
2.82995389000007,116,104
2.8842181610000353,130,104
2.938482246999911,136,100
2.992741887999955,143,97
3.045474529000103,130,91
3.0997534480000013,108,89
3.1540594600000986,67,86
3.2083456200000455,67,85
3.2626552609999635,67,83
3.3169414209999104,67,82
3.3712333399998897,67,76
3.4255144440001004,67,75
3.47980604899999,68,75
3.5325009480000062,67,73
3.5867774969999573,67,72
3.6410525829999187,67,63
3.6953379839999343,297,61
3.7496132549999857,288,54
3.8038917290000427,234,47
3.8582050739998976,297,37
3.9124852899999496,256,26
3.9667711350000445,318,16
4.021049497999911,323,5
4.073744008999938,245,6
4.113755697999977,295,747
4.161706168999899,323,413
4.211229790000061,67,338
4.251240516000053,67,305
4.292837187000032,67,206
4.332849542000076,324,472
4.374467306000042,335,561
4.414490181000019,67,228
4.454509184000017,67,91
4.4945419660000425,297,408
4.5361473220000335,339,314
4.576157492999982,67,221
4.616172274000064,67,361
4.656186612000056,285,334
4.699369875999992,343,484
4.739381565000031,67,432
4.779399976999912,67,272
4.819416962000105,307,433
4.861031781000065,324,348
4.907410047999974,311,83
4.947424514999966,67,224
4.987444054999969,67,306
5.027461133000088,364,437
5.067473543999995,258,183
5.107485900000029,67,131
5.147497347999888,67,391
5.187509333999969,357,301
5.227521485999887,278,378
5.2675329339999735,67,240
5.3075520489999235,587,482
5.349151923999898,315,514
5.389161852999905,318,218
5.429174172000103,67,284
5.469184027999972,67,301
5.510782125000105,329,362
5.550795035999954,343,145
5.5987431369999285,348,116
5.6435146429998895,67,283
5.683530461999908,67,280
5.726714542000082,392,387
5.766724637999914,327,278
5.8115016809999815,334,229
5.85151357399991,67,380
5.891525243999922,67,285
5.931535545000088,335,252
