log2.py

Log time and distance measurements for two sensors to stdout.

Press Ctrl+C to exit.


Inter-measurement must be greater than timing budget, setting inter-measurement period to 54
0.058771273000047586,391,540
0.10042014800001198,349,474
0.17057653900019432,432,458
0.22487477300001046,485,463
0.2775630440000896,402,612
0.33024307300001965,436,494
0.38449790000004214,469,272
0.4371761140000672,449,452
0.4899149950001629,524,368
0.5426210060002177,468,605
0.596923833000119,430,599
0.6496244740001202,424,610
0.7023142810000991,471,474
0.7565633850001632,474,500
0.8092262850000225,472,525
0.8618872590000137,490,528
0.9161321970000245,452,513
0.9688226150001356,463,431
1.021490644000096,456,482
1.075754877999998,462,535
1.1284228340000482,447,478
1.1826782710002135,380,496
1.2369223390001025,382,677
1.2911620910001602,427,468
1.3438166390001243,349,408
1.398056299000018,423,422
1.452295033000155,384,608
1.5065369520000331,409,486
1.5607895200000712,355,430
1.6308821880002142,28,554
1.685125052000103,14,379
1.7377808960000038,98,507
1.792018945000109,97,461
1.8446746970000731,111,434
1.8973343370000748,108,471
1.9515738490001695,104,474
2.004259601000058,103,446
2.0569589080000696,99,608
2.111240827000074,94,462
2.163925764000169,86,578
2.216612608000105,82,577
2.2708859900001244,77,725
2.3235685380000177,72,557
2.376255160000028,71,349
2.4305255060000945,69,629
2.483211572000073,66,558
2.558083429000135,66,0
2.612356052000223,65,0
2.6666267490002156,67,47
2.7208988900001714,69,39
2.775165791000063,71,67
2.82943354300005,71,67
2.883705129000191,73,67
2.937970678000056,73,65
2.992238412000006,72,64
3.0465071090000038,74,62
3.1007750840001336,75,58
3.1534579650001433,74,52
3.207722366000098,76,49
3.2619871370000055,72,45
3.3162575380001726,72,44
3.3705264010000064,70,42
3.4247945980000623,35,39
3.479073666000204,35,38
3.533352326000113,35,35
3.5876295230000323,460,33
3.6403217190002124,467,35
3.6945899900001677,494,36
3.7488665760001822,483,36
3.8031349580001006,485,29
3.857402618000151,406,25
3.9116694630001803,463,27
3.965937789999998,461,31
4.020209653000165,415,36
4.074481165000179,510,39
4.128751158000114,462,34
4.181433595000044,423,35
4.235706144000005,469,29
4.289988600000015,423,26
4.330003123000097,465,768
4.373183776000133,419,448
4.413189040000134,35,261
4.453192136000098,35,64
4.493195269000125,395,654
4.536368923000055,434,625
4.576376038000035,35,26
4.616380431000152,35,26
4.656387138000127,411,418
4.697978902000159,430,474
4.737983795000218,35,26
4.7779882990000715,35,112
4.81799350700021,439,474
4.861170105000156,420,483
4.905950685000107,466,26
4.945969041000126,35,89
4.98598793400015,35,332
5.0260648450000645,411,390
5.066101182000011,385,60
5.106118538000146,35,26
5.146140671000012,35,832
5.18615915700002,434,655
5.226178216000108,412,26
5.266205368000101,35,112
5.306231631000173,35,689
5.347809006000034,475,511
5.387798325000176,485,26
5.427787144000149,35,26
5.467776944000207,35,555
5.510940986000151,474,532
5.550931713000182,464,166
5.597276683000018,460,26
5.637273353000182,35,525
5.677267116000166,35,461
5.726770348000173,504,506
5.766766481000104,466,32
5.809930783000027,452,80
5.849922417000016,35,749
5.889915532000032,35,573
5.929907313000058,415,26
5.969898632000195,462,26
6.00990241400018,35,476
6.051495733000138,35,587
6.091499867000039,432,46
6.131510315000014,421,26
6.171511189000057,35,646
6.213108379000005,35,729
6.253109216000212,465,207
6.2931039240002065,515,26
6.3330996310000955,35,611
6.376262415000156,35,617
6.416259752000087,452,40
6.456253478000008,478,26
6.502619782000011,494,722
6.542631489000087,35,547
6.592197943000201,35,372
6.632214650000151,35,26
6.672209801999998,438,26
