time,yaw,right,auto,enabled,bb_irq_ts,tof_dist,tof_fpga_ts,tof_ts,Filter,Timestamp,/RealOutputs/ToF/Distance/0,/RealOutputs/ToF/Distance/1
1250.068,0,0,0,0,0,829,1250.048097,4494.601074,TRUE,4494.601074,829,0
1250.088,0,0,0,0,0,828,1250.068094,4494.629395,TRUE,4494.629395,828,0
1250.108,0,0,0,0,0,825,1250.088017,4494.658691,TRUE,4494.658691,825,0
1250.148,0,0,0,0,0,828,1250.128048,4494.686523,TRUE,4494.686523,828,0
1250.168,0,0,0,0,0,827,1250.148007,4494.716309,TRUE,4494.716309,827,0
1250.208,0,0,0,0,0,833,1250.18802,4494.746094,TRUE,4494.746094,833,0
1250.268,0,0,0,0,0,831,1250.24801,4494.803223,TRUE,4494.803223,831,0
1250.288,0,0,0,0,0,830,1250.268007,4494.833008,TRUE,4494.833008,830,0
1250.328,0,0,0,0,0,824,1250.308094,4494.86084,TRUE,4494.86084,824,0
1250.348,0,0,0,0,0,829,1250.328017,4494.890625,TRUE,4494.890625,829,0
1250.388,0,0,0,0,0,830,1250.367992,4494.919922,TRUE,4494.919922,830,0
1250.408,0,0,0,0,0,831,1250.387989,4494.948242,TRUE,4494.948242,831,0
1250.428,0,0,0,0,0,829,1250.408134,4494.977539,TRUE,4494.977539,829,0
1250.468,1250.428446,0,0,0,0,828,1250.448016,4495.007324,TRUE,4495.007324,828,0
1250.488,4495.007324,0,0,0,0,832,1250.467995,4495.035156,TRUE,4495.035156,832,0
1250.528,0,0,0,0,0,830,1250.508026,4495.064453,TRUE,4495.064453,830,0
1250.548,4495.064453,0,0,0,0,828,1250.528023,4495.092773,TRUE,4495.092773,828,0
1250.588,1250.54802,0,0,0,0,830,1250.567998,4495.12207,TRUE,4495.12207,830,0
1250.608,0,0,0,0,0,825,1250.588032,4495.151855,TRUE,4495.151855,825,0
1250.648,0,0,0,0,0,832,1250.628044,4495.179688,TRUE,4495.179688,832,0
1250.668,4495.179688,0,0,0,0,831,1250.648078,4495.209473,TRUE,4495.209473,831,0
1250.688,0,0,0,0,0,834,1250.668001,4495.23877,TRUE,4495.23877,834,0
1250.728,0,0,0,0,0,826,1250.70805,4495.26709,TRUE,4495.26709,826,0
1250.748,0,0,0,0,0,832,1250.728084,4495.296387,TRUE,4495.296387,832,0
1250.788,0,0,0,0,0,824,1250.768004,4495.326172,TRUE,4495.326172,824,0
1250.808,4495.326172,0,0,0,0,834,1250.788019,4495.354004,TRUE,4495.354004,834,0
1250.848,0,0,0,0,0,833,1250.828013,4495.383789,TRUE,4495.383789,833,0
1250.868,0,0,0,0,0,827,1250.84801,4495.411621,TRUE,4495.411621,827,0
1250.908,0,0,0,0,0,828,1250.887985,4495.441406,TRUE,4495.441406,828,0
